Year,Month,Day,Time,Quarter,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Speed,Conditions,Total
2015,7.0,2.0,730,Other,57,53.1,0.84,30.04,10,6.9,Overcast,9
2015,7.0,2.0,800,Other,57,53.1,0.84,30.04,10,6.9,Overcast,31
2015,7.0,2.0,830,Other,59,53.1,0.84,30.03,10,9.2,Overcast,108
2015,7.0,2.0,900,Other,59,53.1,0.84,30.03,10,9.2,Overcast,64
2015,7.0,2.0,930,Other,60.1,53.1,0.84,30.04,10,13.8,Overcast,57
2015,7.0,2.0,1000,Other,61,52,0.84,30.04,10,11.5,Overcast,37
2015,7.0,2.0,1030,Other,62.6,51.8,0.84,30.03,10,13.8,Scattered Clouds,27
2015,7.0,2.0,1100,Other,62.6,51.8,0.84,30.03,10,13.8,Scattered Clouds,28
2015,7.0,2.0,1130,Other,64,52,0.84,30.04,10,12.7,Partly Cloudy,41
2015,7.0,2.0,1200,Other,64,52,0.84,30.04,10,12.7,Partly Cloudy,54
2015,7.0,2.0,1230,Other,64.9,52,0.84,30.03,10,9.2,Clear,54
2015,7.0,2.0,1300,Other,64.9,52,0.84,30.03,10,9.2,Clear,70
2015,7.0,2.0,1330,Other,66,52,0.84,30.03,10,9.2,Clear,51
2015,7.0,2.0,1400,Other,66,52,0.84,30.03,10,9.2,Clear,61
2015,7.0,2.0,1430,Other,64.9,51.1,0.84,30.02,10,13.8,Clear,48
2015,7.0,2.0,1500,Other,64.9,51.1,0.84,30.02,10,13.8,Clear,38
2015,7.0,2.0,1530,Other,64,51.1,0.84,30.01,10,9.2,Clear,29
2015,7.0,2.0,1600,Other,64,51.1,0.84,30.01,10,9.2,Clear,30
2015,7.0,2.0,1630,Other,64.9,52,0.84,30.01,10,8.1,Clear,31
2015,7.0,2.0,1700,Other,64.9,52,0.84,30.01,10,8.1,Clear,22
2015,7.0,2.0,1730,Other,64,52,0.84,30,10,9.2,Clear,20
2015,7.0,2.0,1800,Other,64,52,0.84,30,10,9.2,Clear,11
2015,7.0,2.0,1830,Other,62.1,51.1,0.84,29.99,10,9.2,Clear,19
2015,7.0,2.0,1900,Other,62.1,51.1,0.84,29.99,10,9.2,Clear,11
2015,7.0,2.0,1930,Other,59,48.9,0.84,30,10,10.4,Clear,17
2015,7.0,2.0,2000,Other,59,48.9,0.84,30,10,10.4,Clear,8
2015,7.0,2.0,2030,Other,57.9,48.9,0.84,30,10,5.8,Clear,4
2015,7.0,2.0,2100,Other,57.9,48.9,0.84,30,10,5.8,Clear,9
2015,7.0,2.0,2130,Other,57.9,48,0.84,30.02,10,5.8,Clear,2
2015,7.0,3.0,700,Other,57,53.1,0.84,29.99,10,0,Clear,2
2015,7.0,3.0,730,Other,63,55.9,0.84,30,10,3.5,Clear,5
2015,7.0,3.0,800,Other,63,55.9,0.84,30,10,3.5,Clear,30
2015,7.0,3.0,830,Other,66,55.9,0.84,30,10,3.5,Clear,94
2015,7.0,3.0,900,Other,66,55.9,0.84,30,10,3.5,Clear,68
2015,7.0,3.0,930,Other,68,55.9,0.84,29.99,10,0,Clear,48
2015,7.0,3.0,1000,Other,68,55.9,0.84,29.99,10,0,Clear,40
2015,7.0,3.0,1030,Other,73,55,0.84,29.99,10,3.5,Clear,44
2015,7.0,3.0,1100,Other,73,55,0.84,29.99,10,3.5,Clear,33
2015,7.0,3.0,1130,Other,73,54,0.84,29.98,10,3.5,Clear,36
2015,7.0,3.0,1200,Other,73,54,0.84,29.98,10,3.5,Clear,50
2015,7.0,3.0,1230,Other,73,53.1,0.84,29.98,10,5.8,Clear,65
2015,7.0,3.0,1300,Other,73,53.1,0.84,29.98,10,5.8,Clear,69
2015,7.0,3.0,1330,Other,73.9,53.1,0.84,29.97,10,-,Clear,53
2015,7.0,3.0,1400,Other,73.9,53.1,0.84,29.97,10,-,Clear,39
2015,7.0,3.0,1430,Other,75,53.1,0.84,29.96,10,5.8,Clear,45
2015,7.0,3.0,1500,Other,75,53.1,0.84,29.96,10,5.8,Clear,30
2015,7.0,3.0,1530,Other,75,53.1,0.84,29.95,10,6.9,Clear,37
2015,7.0,3.0,1600,Other,75,53.1,0.84,29.95,10,6.9,Clear,43
2015,7.0,3.0,1630,Other,73.9,53.1,0.84,29.93,10,9.2,Clear,37
2015,7.0,3.0,1700,Other,73.9,53.1,0.84,29.93,10,9.2,Clear,16
2015,7.0,3.0,1730,Other,72,52,0.84,29.94,10,8.1,Clear,11
2015,7.0,3.0,1800,Other,72,52,0.84,29.94,10,8.1,Clear,13
2015,7.0,3.0,1830,Other,71.1,52,0.84,29.94,10,5.8,Clear,10
2015,7.0,3.0,1900,Other,71.1,52,0.84,29.94,10,5.8,Clear,5
2015,7.0,3.0,1930,Other,68,52,0.84,29.92,10,4.6,Clear,11
2015,7.0,3.0,2000,Other,68,52,0.84,29.92,10,4.6,Clear,6
2015,7.0,3.0,2030,Other,66,53.1,0.84,29.93,10,0,Clear,3
2015,7.0,3.0,2100,Other,66,53.1,0.84,29.93,10,0,Clear,4
